"spec","item","variable","response","refits","n_min","n_max","mean_shap","minimum","maximum","positive_refits","negative_refits"
"diagnostic","NEWQ67","NEWQ67","(1) My religion is the only one that will lead to Heaven",3,59,70,-1.5503203128529e-05,-5.93623613654724e-05,3.21727321324763e-05,1,2
"diagnostic","NEWQ67","NEWQ67","(2) My religion is the surest path, but believers of other faiths may also enter Heaven",3,97,105,7.0471029198248e-06,-4.96591785568374e-05,8.439604014565e-05,1,2
"diagnostic","NEWQ67","NEWQ67","(3) Believers of any faith, or no faith at all, are each equally able to enter Heaven",3,217,250,-3.73229850059874e-07,-2.90065285580549e-05,1.63835367237986e-05,2,1
"diagnostic","NEWQ67","NEWQ67","(4) I do not believe in a literal Heaven",3,109,129,-7.95643506452262e-06,-3.12712152940885e-05,1.38636045190593e-05,1,2
"diagnostic","Q110","Q110R2","(0) NO TO: Religious Organization",3,380,393,8.8033765836243e-06,-8.96239184282574e-06,2.2926161540798e-05,2,1
"diagnostic","Q110","Q110R2","(1) Religious Organization",3,128,141,1.42449214693112e-05,-6.3273659049962e-05,7.09094536158554e-05,2,1
"diagnostic","Q110","Q110R3","(0) NO TO: Political Party or candidate",3,446,451,5.06024483877039e-07,-3.60473468250149e-05,4.24374760007513e-05,1,2
"diagnostic","Q110","Q110R3","(2) Political Party or candidate",3,70,75,8.01235823740285e-05,-0.000148625597196081,0.000361997814202713,2,1
"diagnostic","Q110","Q110R4","(0) NO TO: Social/Human Services Organization",3,425,437,1.52906603768612e-05,-5.8284654420038e-06,3.3454474200581e-05,2,1
"diagnostic","Q110","Q110R4","(3) Social/Human Services Organization",3,84,96,-1.41198851726027e-05,-0.000160431552663292,0.000101538414942066,2,1
"diagnostic","Q110","Q110R5","(0) NO TO: COVID Relief Efforts",3,469,483,6.08354942677481e-06,-7.27743146257577e-06,1.50147156295847e-05,2,1
"diagnostic","Q110","Q110R5","(4) COVID Relief Efforts",3,38,52,2.02425097728567e-05,-0.000215640371125011,0.000275971207406202,2,1
"diagnostic","Q110","Q110R6","(0) NO TO: Black Lives Matter",3,488,489,6.12158770112436e-06,-7.04836026432375e-07,1.39002845664313e-05,2,1
"diagnostic","Q110","Q110R6","(5) Black Lives Matter",3,32,33,6.51862399495141e-05,-7.33036718853571e-06,0.000103415215461572,2,1
"diagnostic","Q110","Q110R7","(0) NO TO: Police association",3,494,498,1.07922217103176e-05,-1.65854303782052e-06,2.10682896215583e-05,2,1
"diagnostic","Q110","Q110R7","(6) Police association",3,23,27,-3.05523470723667e-05,-0.000293274614036933,0.000232407266587694,1,2
"diagnostic","Q110","Q110R8","(0) NO TO: Political civic group (not a political party)",3,502,507,3.35918522090549e-05,4.94405756556375e-06,8.5664559761494e-05,3,0
"diagnostic","Q110","Q110R8","(7) Political civic group (not a political party)",3,14,19,-0.000836295774232847,-0.00225764660702274,0.000182479441829238,1,2
"diagnostic","Q111R1","Q111R1","(0) None",3,453,462,-1.41939116593299e-05,-4.51441809985486e-05,2.56244602055904e-06,1,1
"diagnostic","Q111R1","Q111R1","(1) $50 or less",3,40,45,-4.73353185997364e-05,-0.000287378719442408,0.000145372763643198,1,1
"diagnostic","Q111R1","Q111R1","(2) $51 to $100",2,10,16,-3.88080331031525e-05,-7.76160662063049e-05,0,0,1
"diagnostic","Q111R2","Q111R2","(0) None",3,433,448,-1.50488520928331e-05,-2.16337012277612e-05,-7.81151019149112e-06,0,3
"diagnostic","Q111R2","Q111R2","(1) $50 or less",3,45,59,1.03879338379106e-05,-6.34328434499472e-06,3.95776714660089e-05,1,2
"diagnostic","Q111R2","Q111R2","(2) $51 to $100",3,13,17,6.93120163523718e-05,3.2713561115196e-05,0.000118287403572379,3,0
"diagnostic","Q111R3","Q111R3","(0) None",3,450,462,4.32164055681718e-05,1.57923312375434e-05,6.85807335311204e-05,3,0
"diagnostic","Q111R3","Q111R3","(1) $50 or less",3,36,48,0.000155026305909934,4.12878884943649e-05,0.000272688894950705,3,0
"diagnostic","Q111R3","Q111R3","(2) $51 to $100",3,12,14,-0.00211665487387263,-0.00411219152976531,-0.000205294960309637,0,3
"diagnostic","Q111R4","Q111R4","(0) None",3,296,304,-3.14567563049025e-05,-3.75147067082077e-05,-2.1132136262904e-05,0,3
"diagnostic","Q111R4","Q111R4","(1) $50 or less",3,79,82,-3.60621533712577e-05,-4.76759224158086e-05,-2.0403722032474e-05,0,3
