"run","item","importance","rank"
"diagnostic_202001_forest_FALSE","Q15",0.147485092682407,1
"diagnostic_202001_forest_FALSE","Q614",0.0700195018045522,2
"diagnostic_202001_forest_FALSE","Q2R1",0.0323737452605888,3
"diagnostic_202001_forest_FALSE","Q130",0.0319117573802194,4
"diagnostic_202001_forest_FALSE","Q54",0.0179526832769211,5
"diagnostic_202001_forest_FALSE","Q2R3",0.0156853506665189,6
"diagnostic_202001_forest_FALSE","Q195A2",0.00972226586691327,7
"diagnostic_202001_forest_FALSE","Q2R4",0.00848089784471255,8
"diagnostic_202001_forest_FALSE","Q195A1",0.00767721386987777,9
"diagnostic_202001_forest_FALSE","Q195B1",0.00645731303146336,10
"diagnostic_202001_forest_FALSE","Q195B2",0.00643736303435903,11
"diagnostic_202001_forest_FALSE","Q197A1",0.00616215591408524,12
"diagnostic_202001_forest_FALSE","Q21",0.00483647466106555,13
"diagnostic_202001_forest_FALSE","Q197B1",0.0043824656689548,14
"diagnostic_202001_forest_FALSE","Q2R7",0.00406057394679876,15
"diagnostic_202001_forest_FALSE","Q24",0.0037343676168224,16
"diagnostic_202001_forest_FALSE","Q55",0.00322707702694715,17
"diagnostic_202001_forest_FALSE","Q52",0.00284889923972987,18
"diagnostic_202001_forest_FALSE","Q2R9",0.00284408253782415,19
"diagnostic_202001_forest_FALSE","Q25",0.0026828942643752,20
"diagnostic_202001_forest_FALSE","Q197A2",0.002542355446239,21
"diagnostic_202001_forest_FALSE","Q22",0.0024808466670423,22
"diagnostic_202001_forest_FALSE","Q607_Q610R2",0.0021739717467261,23
"diagnostic_202001_forest_FALSE","Q2R5",0.00204511894466557,24
"diagnostic_202001_forest_FALSE","Q504R11",0.00162074478410818,25
"diagnostic_202001_forest_FALSE","Q197B2",0.00155521158145257,26
"diagnostic_202001_forest_FALSE","Q1",0.0014849808986491,27
"diagnostic_202001_forest_FALSE","Q51",0.00130133261354618,28
"diagnostic_202001_forest_FALSE","Q2R8",0.00118980317787492,29
"diagnostic_202001_forest_FALSE","Q308R7",0.00107956341613491,30
"diagnostic_202001_forest_FALSE","Q295",0.000986324191292353,31
"diagnostic_202001_forest_FALSE","Q326R5",0.000874788387713778,32
"diagnostic_202001_forest_FALSE","Q43",0.000825119732664857,33
"diagnostic_202001_forest_FALSE","Q23",0.000758930131033789,34
"diagnostic_202001_forest_FALSE","Q428",0.000692068848359203,35
"diagnostic_202001_forest_FALSE","Q2R10",0.000623352757887288,36
"diagnostic_202001_forest_FALSE","Q607_Q610R3",0.000601825808055501,37
"diagnostic_202001_forest_FALSE","Q48",0.000582217892742804,38
"diagnostic_202001_forest_FALSE","Q326R4",0.000567294880765954,39
"diagnostic_202001_forest_FALSE","Q50",0.000555380461127427,40
"diagnostic_202001_forest_FALSE","Q359R2",0.000529569926648959,41
