"run","item","variable","response","n","weight_sum","mean_shap","positive_share"
"diagnostic_202001_forest_FALSE","S1","S1","(01) English",505,394.404549777505,-1.40431234469559e-05,0
"diagnostic_202001_forest_FALSE","S1","S1","(02) Spanish",16,18.2693842649459,0.000172439665486805,1
"diagnostic_202001_forest_FALSE","S2_RACE","S2_RACER1","(0) NO TO: White",313,268.14172156155,0,0
"diagnostic_202001_forest_FALSE","S2_RACE","S2_RACER1","(1) White",208,144.532212480902,0,0
"diagnostic_202001_forest_FALSE","S2_RACE","S2_RACER3","(0) NO TO: Black or African American",497,399.643963232634,0,0
"diagnostic_202001_forest_FALSE","S2_RACE","S2_RACER3","(1) Black or African American",24,13.0299708098172,0,0
"diagnostic_202001_forest_FALSE","S2_RACE_PRIME","S2_RACE_PRIME","(1) White | S2_RACE_PRIME: (1) White",81,53.1980217993258,9.899178226843e-05,0.98109970406902
"diagnostic_202001_forest_FALSE","S2_RACE_PRIME","S2_RACE_PRIME","(2) Hispanic or Latino | S2_RACE_PRIME: (2) Hispanic or Latino",427,352.24342626333,-1.77975742475975e-05,0
"diagnostic_202001_forest_FALSE","S2_RACE_PRIME","S2_RACE_PRIME","(3) Black or African American | S2_RACE_PRIME: (3) Black or African American",13,7.2324859797954,8.75089580061607e-05,1
"diagnostic_202001_forest_FALSE","S2_NATIVE","S2_NATIVER1","(0) NO TO: No, not Native American",108,87.3292206823828,-8.72078697437443e-05,0.598668979752942
"diagnostic_202001_forest_FALSE","S2_NATIVE","S2_NATIVER1","(1) No, not Native American",413,325.344713360069,1.93754257189099e-05,1
"diagnostic_202001_forest_FALSE","S2_NATIVE","S2_NATIVER2","(0) NO TO: Yes, myself",491,387.699197292325,1.25016768960271e-06,0.924970433098559
"diagnostic_202001_forest_FALSE","S2_NATIVE","S2_NATIVER2","(1) Yes, myself",30,24.974736750126,-7.1944381358678e-05,0.761397990594194
"diagnostic_202001_forest_FALSE","S2_NATIVE","S2_NATIVER3","(0) NO TO: Yes, one of my parents",498,394.613537192342,3.8702097358261e-06,0.935585980145311
"diagnostic_202001_forest_FALSE","S2_NATIVE","S2_NATIVER3","(1) Yes, one of my parents",23,18.0603968501092,-0.000157213606790556,0.466828935481233
"diagnostic_202001_forest_FALSE","S2_NATIVE","S2_NATIVER4","(0) NO TO: Yes, one of my grandparents",480,377.62600880861,2.02268955251279e-05,1
"diagnostic_202001_forest_FALSE","S2_NATIVE","S2_NATIVER4","(1) Yes, one of my grandparents",41,35.0479252338411,-0.000255373313637538,0
"diagnostic_202001_forest_FALSE","S2_NATIVE","S2_NATIVER5","(0) NO TO: Yes, another more distant relative",482,383.162272721527,-1.50779274825629e-06,0.915682249649449
"diagnostic_202001_forest_FALSE","S2_NATIVE","S2_NATIVER5","(1) Yes, another more distant relative",39,29.5116613209247,-2.48841863269919e-05,0.907136899242796
"diagnostic_202001_forest_FALSE","S2_AFROLAT","S2_AFROLATR1","(0) NO TO: No, not Afro-Latino",65,46.0433427691457,8.81674462472505e-05,0.151487930145403
"diagnostic_202001_forest_FALSE","S2_AFROLAT","S2_AFROLATR1","(1) No, not Afro-Latino",456,366.630591273306,-4.3527298812546e-05,0.0359237648682854
"diagnostic_202001_forest_FALSE","S2_AFROLAT","S2_AFROLATR2","(0) NO TO: Yes, myself",483,382.884149849413,-3.20831231061087e-05,0.0465820737391709
