"variable","item"
"S1","S1"
"S2_RACER1","S2_RACE"
"S2_RACER2","S2_RACE"
"S2_RACER3","S2_RACE"
"S2_RACER4","S2_RACE"
"S2_RACER5","S2_RACE"
"S2_RACER6","S2_RACE"
"S2_RACER7","S2_RACE"
"S2_RACER8","S2_RACE"
"S2_RACE_PRIME","S2_RACE_PRIME"
"S2_HISPANICR1","S2_HISPANIC"
"S2_HISPANICR2","S2_HISPANIC"
"S2_HISPANICR3","S2_HISPANIC"
"S2_HISPANICR4","S2_HISPANIC"
"S2_HISPANICR5","S2_HISPANIC"
"S2_NATIVER1","S2_NATIVE"
"S2_NATIVER2","S2_NATIVE"
"S2_NATIVER3","S2_NATIVE"
"S2_NATIVER4","S2_NATIVE"
"S2_NATIVER5","S2_NATIVE"
"S2_AFROLATR1","S2_AFROLAT"
"S2_AFROLATR2","S2_AFROLAT"
"S2_AFROLATR3","S2_AFROLAT"
"S2_AFROLATR4","S2_AFROLAT"
"S2_AFROLATR5","S2_AFROLAT"
"S3","S3"
"S3B","S3B"
"S3C","S3C"
"S4","S4"
"S5","S5"
"S7","S7"
"S8","S8"
"S8_PACIFIC","S8_PACIFIC"
"S9","S9"
"S10","S10"
"S10_MEX","S10_MEX"
"S11","S11"
"S12","S12"
"S2_M","S2_M"
"S13","S13"
"S14","S14"
"Q58R1","Q58"
"Q58R2","Q58"
"Q58R3","Q58"
"Q58R4","Q58"
"Q58R5","Q58"
"Q58R6","Q58"
"Q58R7","Q58"
"Q58R8","Q58"
"Q58R9","Q58"
"Q58R10","Q58"
"Q58R11","Q58"
"Q58R12","Q58"
"Q58R13","Q58"
"Q58R14","Q58"
"Q58R15","Q58"
"Q58R16","Q58"
"Q58R17","Q58"
"Q1R1","Q1"
"Q1R2","Q1"
"Q1R3","Q1"
"Q1R4","Q1"
"Q1R5","Q1"
"Q1R6","Q1"
"Q1R7","Q1"
"Q1R8","Q1"
"Q1R9","Q1"
"Q1R10","Q1"
"Q1R11","Q1"
"Q1R12","Q1"
"Q1R13","Q1"
"Q1R14","Q1"
"Q1R15","Q1"
"Q1R16","Q1"
"Q1R17","Q1"
"Q1R18","Q1"
"Q1R19","Q1"
"Q1R20","Q1"
"Q1R21","Q1"
"Q1R22","Q1"
"Q1R23","Q1"
"Q2R1","Q2R1"
"Q2R2","Q2R2"
"Q2R3","Q2R3"
"Q2R4","Q2R4"
"Q2R5","Q2R5"
"Q2R6","Q2R6"
"Q2R7","Q2R7"
"Q2R8","Q2R8"
"Q2R9","Q2R9"
"Q2R10","Q2R10"
"Q13","Q13"
"Q15","Q15"
"Q16","Q16"
"Q17","Q17"
"Q18","Q18"
"Q19","Q19"
"Q20","Q20"
"Q21","Q21"
"Q22","Q22"
"Q23","Q23"
"Q24","Q24"
"Q25","Q25"
"Q26","Q26"
"Q27R1","Q27"
"Q27R2","Q27"
"Q27R3","Q27"
"Q27R4","Q27"
"Q27R5","Q27"
"Q27R6","Q27"
"Q27R7","Q27"
"Q27R8","Q27"
"Q27R9","Q27"
"Q27R10","Q27"
"Q27R11","Q27"
"Q27R12","Q27"
"Q27R13","Q27"
"Q27R14","Q27"
"Q27R15","Q27"
"Q27R16","Q27"
"Q27R17","Q27"
"Q27R18","Q27"
"Q27R19","Q27"
"Q28R1","Q28"
"Q28R2","Q28"
"Q28R3","Q28"
"Q28R4","Q28"
"Q28R5","Q28"
"Q28R6","Q28"
"Q28R7","Q28"
"Q28R8","Q28"
"Q28R9","Q28"
"Q28R10","Q28"
"Q28R11","Q28"
"Q28R12","Q28"
"Q28R13","Q28"
"Q28R14","Q28"
"Q28R15","Q28"
"Q28R16","Q28"
"Q28R17","Q28"
"Q28R18","Q28"
"Q28R19","Q28"
"Q29","Q29"
"Q30","Q30"
"Q31","Q31"
"Q32R1","Q32"
"Q32R2","Q32"
"Q32R3","Q32"
"Q32R4","Q32"
"Q32R5","Q32"
"Q32R6","Q32"
"Q32R7","Q32"
"Q32R8","Q32"
"Q32R9","Q32"
"Q33R1","Q33R1"
"Q33R2","Q33R2"
"Q33R3","Q33R3"
"Q33R4","Q33R4"
"Q33R5","Q33R5"
"Q38R1","Q38"
"Q38R2","Q38"
"Q38R3","Q38"
"Q38R4","Q38"
"Q39R1","Q39"
"Q39R2","Q39"
"Q39R3","Q39"
"Q39R4","Q39"
"Q39R5","Q39"
"Q39R6","Q39"
"Q39R7","Q39"
"Q40","Q40"
"Q41R1","Q41"
"Q41R2","Q41"
"Q41R3","Q41"
"Q41R4","Q41"
"Q42","Q42"
"Q43","Q43"
"Q44","Q44"
"Q45","Q45"
"Q46","Q46"
"Q47","Q47"
"Q48","Q48"
"Q49","Q49"
"Q50","Q50"
"Q51","Q51"
"Q52","Q52"
"Q53","Q53"
"Q54","Q54"
"Q55","Q55"
"Q56","Q56"
"Q57","Q57"
"Q59","Q59"
"Q60R1","Q60"
"Q60R2","Q60"
"Q60R3","Q60"
"Q60R4","Q60"
"Q60R5","Q60"
"Q60R6","Q60"
"Q61","Q61"
"Q62R1","Q62R1"
"Q62R2","Q62R2"
"Q62R3","Q62R3"
"Q62R4","Q62R4"
"Q62R5","Q62R5"
"NEWQ67","NEWQ67"
"Q67","Q67"
"Q68","Q68"
"Q69","Q69"
"Q70R1","Q70R1"
"Q70R2","Q70R2"
"Q70R3","Q70R3"
"Q70R4","Q70R4"
"Q70R5","Q70R5"
"Q75","Q75"
"Q76R1","Q76"
"Q76R2","Q76"
"Q76R3","Q76"
"Q76R4","Q76"
"Q76R5","Q76"
"Q76R6","Q76"
"Q77R1","Q77R1"
"Q77R2","Q77R2"
"Q77R3","Q77R3"
"Q77R4","Q77R4"
"Q77R5","Q77R5"
"Q77R6","Q77R6"
"Q77R7","Q77R7"
"Q77R8","Q77R8"
"Q77R9","Q77R9"
"Q78","Q78"
"Q79","Q79"
"Q84","Q84"
"Q85","Q85"
"Q85B","Q85B"
"Q86","Q86"
"Q87","Q87"
"Q88","Q88"
"Q93","Q93"
"Q94","Q94"
"Q95","Q95"
"Q96R1","Q96"
"Q96R2","Q96"
"Q96R3","Q96"
"Q96R4","Q96"
"Q96R5","Q96"
"Q96R6","Q96"
"Q96R7","Q96"
"Q96R8","Q96"
"Q96R9","Q96"
"Q96R10","Q96"
"Q96R11","Q96"
"Q96R12","Q96"
"Q96R13","Q96"
"Q96R14","Q96"
"Q97","Q97"
"Q98R1","Q98"
"Q98R2","Q98"
"Q98R3","Q98"
"Q98R4","Q98"
"Q98R5","Q98"
"Q98R6","Q98"
"Q98R7","Q98"
"Q98R8","Q98"
"Q98R9","Q98"
"Q98R10","Q98"
"Q98R11","Q98"
"Q99R1","Q99R1"
"Q99R2","Q99R2"
"Q99R3","Q99R3"
"Q99R4","Q99R4"
"Q99R5","Q99R5"
"Q99R6","Q99R6"
"Q99R7","Q99R7"
"Q99R8","Q99R8"
"Q99R9","Q99R9"
