"seed","stage","variable","response","training_n"
202001,"inner","S3","(88) Refused",8
202001,"inner","S3","(99) I don",7
202001,"inner","S3B","(3) Non-binary",2
202001,"inner","S3B","(4) Something else (Specify)",1
202001,"inner","S4","(02) Alabama",7
202001,"inner","S4","(04) Arkansas",1
202001,"inner","S4","(08) Delaware",4
202001,"inner","S4","(12) Hawaii",1
202001,"inner","S4","(13) Idaho",2
202001,"inner","S4","(16) Iowa",3
202001,"inner","S4","(17) Kansas",7
202001,"inner","S4","(18) Kentucky",2
202001,"inner","S4","(19) Louisiana",7
202001,"inner","S4","(24) Minnesota",7
202001,"inner","S4","(26) Missouri",6
202001,"inner","S4","(27) Montana",1
202001,"inner","S4","(28) Nebraska",2
202001,"inner","S4","(30) New Hampshire",1
202001,"inner","S4","(37) Oklahoma",7
202001,"inner","S4","(38) Oregon",5
202001,"inner","S4","(40) Rhode Island",3
202001,"inner","S4","(41) South Carolina",6
202001,"inner","S4","(43) Tennessee",9
202001,"inner","S4","(45) Utah",3
202001,"inner","S4","(46) Vermont",1
202001,"inner","S4","(49) West virginia",2
202001,"inner","S10","(02) Bolivia",8
202001,"inner","S10","(03) Chile",4
202001,"inner","S10","(04) Colombia",9
202001,"inner","S10","(11) Honduras",8
202001,"inner","S10","(13) Nicaragua",6
202001,"inner","S10","(14) Panama",8
202001,"inner","S10","(15) Paraguay",3
202001,"inner","S10","(18) Uruguay",1
202001,"inner","S10","(19) Venezuela",6
202001,"inner","S10","(20) Brazil",8
202001,"inner","S11","(03) Sioux",2
202001,"inner","S11","(05) Choctaw",1
202001,"inner","S11","(06) Apache",8
202001,"inner","S11","(07) Pueblo",4
202001,"inner","S11","(08) Iroquois",3
202001,"inner","S11","(09) Creek",4
202001,"inner","S11","(10) Blackfeet",6
202001,"inner","S11","(11) Alaska Native",2
202001,"inner","S11","(99) Refused",2
202001,"inner","S13","(1) Grades 1-8",2
202001,"inner","Q58R1","Not observed / routed",1
202001,"inner","Q58R2","Not observed / routed",1
202001,"inner","Q58R3","Not observed / routed",1
202001,"inner","Q58R4","Not observed / routed",1
202001,"inner","Q58R5","(1) Muslim",6
202001,"inner","Q58R5","Not observed / routed",1
202001,"inner","Q58R6","(1) Hindu",1
202001,"inner","Q58R6","Not observed / routed",1
202001,"inner","Q58R7","(1) Buddhist",8
202001,"inner","Q58R7","Not observed / routed",1
202001,"inner","Q58R8","(1) Mormon/LDS",9
202001,"inner","Q58R8","Not observed / routed",1
202001,"inner","Q58R9","(1) Folk religion",2
202001,"inner","Q58R9","Not observed / routed",1
202001,"inner","Q58R10","(1) Daoist",2
202001,"inner","Q58R10","Not observed / routed",1
202001,"inner","Q58R11","(1) Shamanism",1
202001,"inner","Q58R11","Not observed / routed",1
202001,"inner","Q58R12","(1) Ancestral religion",2
202001,"inner","Q58R12","Not observed / routed",1
202001,"inner","Q58R13","Not observed / routed",1
202001,"inner","Q58R14","Not observed / routed",1
202001,"inner","Q58R15","Not observed / routed",1
202001,"inner","Q58R16","Not observed / routed",1
202001,"inner","Q58R17","Not observed / routed",1
202001,"inner","Q2R5","(6) Haven",2
202001,"inner","Q2R6","(6) Haven",8
202001,"inner","Q2R7","(6) Haven",6
202001,"inner","Q2R9","(6) Haven",4
202001,"inner","Q20","(03) Yes, very active",5
202001,"inner","Q20","(88) Don",6
202001,"inner","Q31","(5) Other (SPECIFY)",9
202001,"inner","Q40","(99) Refused",9
202001,"inner","Q41R4","(1) Something else",6
202001,"inner","Q61","(05) Muslim",5
202001,"inner","Q61","(08) Mormon/LDS",5
202001,"inner","Q61","(09) Folk religion",1
202001,"inner","Q61","(14) Atheist",8
202001,"inner","Q61","(15) Agnostic",4
202001,"inner","Q85","(4) 4",3
202001,"inner","Q85","(5) 5 or more",3
202001,"inner","Q111R1","(5) More than $500",6
202001,"inner","Q111R2","(5) More than $500",9
202001,"inner","Q111R3","(5) More than $500",5
202001,"inner","Q117R7","(1) Very Low Priority | S2_RACE_PRIME: (3) Black or African American",5
202001,"inner","Q117R7","(2) Low Priority | S2_RACE_PRIME: (3) Black or African American",4
202001,"inner","Q117R7","(3) High Priority | S2_RACE_PRIME: (3) Black or African American",5
202001,"inner","Q117R7","(4) Very High Priority | S2_RACE_PRIME: (3) Black or African American",7
202001,"inner","Q154R4","(02) Some | S2_RACE_PRIME: (3) Black or African American",2
202001,"inner","Q154R4","(03) A little | S2_RACE_PRIME: (3) Black or African American",3
202001,"inner","Q154R5","(02) Some | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q154R5","(03) A little | S2_RACE_PRIME: (3) Black or African American",3
202001,"inner","Q154R5","(04) None at all | S2_RACE_PRIME: (3) Black or African American",2
202001,"inner","Q159R1","(1) Never | S2_RACE_PRIME: (3) Black or African American",4
202001,"inner","Q159R1","(3) About half the time | S2_RACE_PRIME: (3) Black or African American",5
202001,"inner","Q159R2","(1) Never | S2_RACE_PRIME: (3) Black or African American",9
202001,"inner","Q159R2","(2) Some of the time | S2_RACE_PRIME: (3) Black or African American",6
202001,"inner","Q159R2","(3) About half the time | S2_RACE_PRIME: (3) Black or African American",5
202001,"inner","Q159R2","(5) All of the time | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q159R3","(1) Never | S2_RACE_PRIME: (3) Black or African American",3
202001,"inner","Q159R3","(2) Some of the time | S2_RACE_PRIME: (3) Black or African American",9
202001,"inner","Q159R3","(3) About half the time | S2_RACE_PRIME: (3) Black or African American",4
202001,"inner","Q159R3","(4) Much of the time | S2_RACE_PRIME: (3) Black or African American",4
202001,"inner","Q159R3","(5) All of the time | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q162R1","(06) Strongly disapprove",8
202001,"inner","Q221R1","(1) Agree strongly | S2_RACE_PRIME: (3) Black or African American",9
202001,"inner","Q221R1","(2) Agree somewhat | S2_RACE_PRIME: (3) Black or African American",3
202001,"inner","Q221R1","(3) Neither agree nor disagree | S2_RACE_PRIME: (3) Black or African American",8
202001,"inner","Q221R1","(4) Disagree somewhat | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q221R2","(1) Agree strongly | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q221R2","(2) Agree somewhat | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q221R2","(3) Neither agree nor disagree | S2_RACE_PRIME: (3) Black or African American",6
202001,"inner","Q221R2","(4) Disagree somewhat | S2_RACE_PRIME: (3) Black or African American",3
202001,"inner","Q221R3","(1) Agree strongly | S2_RACE_PRIME: (3) Black or African American",4
202001,"inner","Q221R3","(2) Agree somewhat | S2_RACE_PRIME: (3) Black or African American",6
202001,"inner","Q221R3","(3) Neither agree nor disagree | S2_RACE_PRIME: (3) Black or African American",9
202001,"inner","Q221R3","(4) Disagree somewhat | S2_RACE_PRIME: (3) Black or African American",2
202001,"inner","Q221R4","(2) Agree somewhat | S2_RACE_PRIME: (3) Black or African American",4
202001,"inner","Q221R4","(3) Neither agree nor disagree | S2_RACE_PRIME: (3) Black or African American",4
202001,"inner","Q221R4","(5) Disagree strongly | S2_RACE_PRIME: (1) White",7
202001,"inner","Q221R4","(5) Disagree strongly | S2_RACE_PRIME: (2) Hispanic or Latino",9
202001,"inner","Q225R7","(6) Threatens",7
202001,"inner","Q225R8","(6) Threatens",8
202001,"inner","Q225R8","(7) Strongly threatens",6
202001,"inner","Q225R9","(7) Strongly threatens",9
202001,"inner","Q250R3","(1) Strongly disagree",5
202001,"inner","Q250R3","(2) Disagree",5
202001,"inner","Q250R5","(1) Strongly disagree",5
202001,"inner","Q250R5","(2) Disagree",6
202001,"inner","Q250R8","(1) Strongly disagree",4
202001,"inner","Q250R8","(2) Disagree",4
202001,"inner","Q258","(1) Extremely likely | Q258SPLIT: (1) women",2
202001,"inner","Q258","(1) Extremely likely | Q258SPLIT: (3) Black",3
202001,"inner","Q258","(1) Extremely likely | Q258SPLIT: (4) minority",4
