"variable","item","verified_short_label","construct","wording_source","codebook_pdf_page","source_type","appended_context","routing_notes","missingness_type","sample_system_missing","base_decision","model1","model2","model3","exclusion_note","label_review","raw_observed","measurement","questionnaire_item","questionnaire_pdf_page"
"RECORD","RECORD","RECORD","record: Record number","ICPSR variable label; may be truncated",5,"Administration / derived field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Outcome, selection, administration, weights or duplicate",FALSE,FALSE,FALSE,"Outcome, selection, administration, weights or duplicate","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"UUID","UUID","UUID","uuid: Participant identifier","ICPSR variable label; may be truncated",5,"Administration / derived field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Outcome, selection, administration, weights or duplicate",FALSE,FALSE,FALSE,"Outcome, selection, administration, weights or duplicate","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"DATE","DATE","DATE","date: Completion time and date","ICPSR variable label; may be truncated",5,"Administration / derived field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Outcome, selection, administration, weights or duplicate",FALSE,FALSE,FALSE,"Outcome, selection, administration, weights or duplicate","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S1","S1","S1","S1: What language would you like to continue in?","ICPSR variable label; may be truncated",5,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_RACER1","S2_RACE","S2_RACER1","S2_Racer1: White - In order to make sure we have a representative sample of ever","ICPSR variable label; may be truncated",6,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_RACER2","S2_RACE","S2_RACER2","S2_Racer2: Hispanic or Latino - In order to make sure we have a representative s","ICPSR variable label; may be truncated",6,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_RACER3","S2_RACE","S2_RACER3","S2_Racer3: Black or African American - In order to make sure we have a represent","ICPSR variable label; may be truncated",6,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_RACER4","S2_RACE","S2_RACER4","S2_Racer4: Asian American - In order to make sure we have a representative sampl","ICPSR variable label; may be truncated",6,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_RACER5","S2_RACE","S2_RACER5","S2_Racer5: American Indian/Native American - In order to make sure we have a rep","ICPSR variable label; may be truncated",7,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_RACER6","S2_RACE","S2_RACER6","S2_Racer6: Arab, Middle Eastern or North African - In order to make sure we have","ICPSR variable label; may be truncated",7,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
