"variable","construct","storage","raw_observed"
"RECORD","record: Record number","numeric",17545
"UUID","uuid: Participant identifier","factor",17545
"DATE","date: Completion time and date","factor",17545
"S1","S1: What language would you like to continue in?","factor",17545
"S2_RACER1","S2_Racer1: White - In order to make sure we have a representative sample of ever","factor",17545
"S2_RACER2","S2_Racer2: Hispanic or Latino - In order to make sure we have a representative s","factor",17545
"S2_RACER3","S2_Racer3: Black or African American - In order to make sure we have a represent","factor",17545
"S2_RACER4","S2_Racer4: Asian American - In order to make sure we have a representative sampl","factor",17545
"S2_RACER5","S2_Racer5: American Indian/Native American - In order to make sure we have a rep","factor",17545
"S2_RACER6","S2_Racer6: Arab, Middle Eastern or North African - In order to make sure we have","factor",17545
"S2_RACER7","S2_Racer7: Native Hawaiian - In order to make sure we have a representative samp","factor",17545
"S2_RACER8","S2_Racer8: Not Hawaiian, but other Pacific Islander - In order to make sure we h","factor",17545
"S2_RACE_PRIME","S2_Race_Prime: Even if they are all important, which of these would you consider","factor",17545
"MAIN_ETH_QUOTA","Main_Eth_quota: Hold Ethnicity for single quota;","factor",17545
"S2_HISPANICR1","S2_Hispanicr1: No, not Hispanic or Latino - Do you consider yourself, or your fa","factor",12968
"S2_HISPANICR2","S2_Hispanicr2: Yes, myself - Do you consider yourself, or your family ancestry t","factor",12968
"S2_HISPANICR3","S2_Hispanicr3: Yes, one of my parents - Do you consider yourself, or your family","factor",12968
"S2_HISPANICR4","S2_Hispanicr4: Yes, one of my grandparents - Do you consider yourself, or your f","factor",12968
"S2_HISPANICR5","S2_Hispanicr5: Yes, another more distant relative - Do you consider yourself, or","factor",12968
"S2_NATIVER1","S2_Nativer1: No, not Native American - Do you consider yourself, or your family","factor",17545
"S2_NATIVER2","S2_Nativer2: Yes, myself - Do you consider yourself, or your family ancestry to","factor",17545
"S2_NATIVER3","S2_Nativer3: Yes, one of my parents - Do you consider yourself, or your family a","factor",17545
"S2_NATIVER4","S2_Nativer4: Yes, one of my grandparents - Do you consider yourself, or your fam","factor",17545
"S2_NATIVER5","S2_Nativer5: Yes, another more distant relative - Do you consider yourself, or y","factor",17545
"S2_AFROLAT_TEXT","S2_AfroLat_text: Text for S2_AfroLat","factor",9394
"S2_AFROLATR1","S2_AfroLatr1: No, not Afro-Latino - Do you identify as Afro-Latino, or being Bla","factor",9394
"S2_AFROLATR2","S2_AfroLatr2: Yes, myself - Do you identify as Afro-Latino, or being Black with","factor",9394
"S2_AFROLATR3","S2_AfroLatr3: Yes, one of my parents - Do you identify as Afro-Latino, or being","factor",9394
"S2_AFROLATR4","S2_AfroLatr4: Yes, one of my grandparents - Do you identify as Afro-Latino, or b","factor",9394
"S2_AFROLATR5","S2_AfroLatr5: Yes, another more distant relative - Do you identify as Afro-Latin","factor",9394
"S3","S3: Which of the following best represents how you think of yourself?","factor",17545
"S3R4OE","S3r4oe: Which of the following best represents how you think of yourself? - Some","factor",17545
"S3B","S3b: What is your gender?","factor",17545
"S3BR4OE","S3br4oe: What is your gender? - Something else (Specify)","factor",17545
"S3C","S3c: Some people describe themselves as transgender when they experience a diffe","factor",17545
"S4","S4: Please select your current state of residence.","factor",17545
"S5","S5: In what year were you born?","numeric",17545
"S5_AGE","S5_Age: Age categories","factor",17545
"S6","S6: Are you currently registered to vote here in [pipe: S4], or like many people","factor",17545
"S6_NON","S6_non: In 2020 there were 40 million Americans who were NOT registered to vote.","factor",6317
"S7","S7: Were you born in the...?","factor",17545
"S8","S8: Asian Americans come from a diversity of backgrounds. What do you consider t","factor",3955
"S8R16OE","S8r16oe: Asian Americans come from a diversity of backgrounds. What do you consi","factor",17545
"ASIAN_ETH","Asian_Eth: Asian Ethnicity","factor",3938
"S8_PACIFIC","S8_Pacific: Native Hawaiians and Pacific Islanders come from a diversity of back","factor",432
"S8_PACIFICR8OE","S8_Pacificr8oe: Native Hawaiians and Pacific Islanders come from a diversity of","factor",17545
"S9","S9: Some African Americans are part of immigrant communities that are newer to A","factor",4843
"S9R19OE","S9r19oe: Some African Americans are part of immigrant communities that are newer","factor",17545
"S10","S10: Hispanics and Latinos have their roots in many different countries in Latin","factor",4975
"S10R22OE","S10r22oe: Hispanics and Latinos have their roots in many different countries in","factor",17545
"S10_MEX","S10_Mex: Do you consider any part of your or your family ancestry to be Mexican","factor",631
"S11","S11: There are 574 federally recognized tribes living within the US, what tribe","factor",2829
"S11R13OE","S11r13oe: There are 574 federally recognized tribes living within the US, what t","factor",17545
"S12","S12: Arab, Middle Eastern or North African communities come from diverse backgro","factor",292
"S12R27OE","S12r27oe: Arab, Middle Eastern or North African communities come from diverse ba","factor",17545
"S2_M","S2_M: Do you consider yourself to be mixed race or multiracial?","factor",17545
"S13","S13: What is the highest level of education you completed?","factor",17545
"S14","S14: When you think about the community that you live in, which comes closest to","factor",17545
"S15","S15: Just to make sure we have a representative sample of people from all across","factor",17545
"Q58R1","Q58r1: Catholic - When it comes to religion, do you consider yourself to be?","factor",17532
"Q58R2","Q58r2: Protestant (such as Methodist, Presbyterian, Assembly of God, Baptist, Lu","factor",17532
"Q58R3","Q58r3: Other Christian - When it comes to religion, do you consider yourself to","factor",17532
"Q58R4","Q58r4: Jewish - When it comes to religion, do you consider yourself to be?","factor",17532
"Q58R5","Q58r5: Muslim - When it comes to religion, do you consider yourself to be?","factor",17532
"Q58R6","Q58r6: Hindu - When it comes to religion, do you consider yourself to be?","factor",17532
"Q58R7","Q58r7: Buddhist - When it comes to religion, do you consider yourself to be?","factor",17532
"Q58R8","Q58r8: Mormon/LDS - When it comes to religion, do you consider yourself to be?","factor",17532
"Q58R9","Q58r9: Folk religion - When it comes to religion, do you consider yourself to be","factor",17532
"Q58R10","Q58r10: Daoist - When it comes to religion, do you consider yourself to be?","factor",17532
"Q58R11","Q58r11: Shamanism - When it comes to religion, do you consider yourself to be?","factor",17532
"Q58R12","Q58r12: Ancestral religion - When it comes to religion, do you consider yourself","factor",17532
"Q58R13","Q58r13: Spiritual but not religious - When it comes to religion, do you consider","factor",17532
"Q58R14","Q58r14: Atheist - When it comes to religion, do you consider yourself to be?","factor",17532
"Q58R15","Q58r15: Agnostic - When it comes to religion, do you consider yourself to be?","factor",17532
"Q58R16","Q58r16: None - When it comes to religion, do you consider yourself to be?","factor",17532
"Q58R17","Q58r17: Other (SPECIFY) - When it comes to religion, do you consider yourself to","factor",17532
"Q58R17OE","Q58r17oe: When it comes to religion, do you consider yourself to be? - Other (SP","factor",17545
"Q3B_PLURAL","Q3b_plural: What is your gender?","factor",17545
"Q3B_PLURALR4OE","Q3b_pluralr4oe: What is your gender? - $ {S3b.r4.open}","factor",17545
"Q1R1","Q1r1: Responding to Coronavirus / COVID-19 - On the whole, what are the most imp","factor",17545
"Q1R2","Q1r2: Lowering the costs of health care - On the whole, what are the most import","factor",17545
"Q1R3","Q1r3: Improving wages and incomes - On the whole, what are the most important is","factor",17545
"Q1R4","Q1r4: Unemployment / Creating more jobs - On the whole, what are the most import","factor",17545
"Q1R5","Q1r5: Stopping discrimination against racial/ethnic minorities - On the whole, w","factor",17545
