"run","variable"
"diagnostic_202001_forest_FALSE","S1"
"diagnostic_202001_forest_FALSE","S2_RACER1"
"diagnostic_202001_forest_FALSE","S2_RACER3"
"diagnostic_202001_forest_FALSE","S2_RACE_PRIME"
"diagnostic_202001_forest_FALSE","S2_NATIVER1"
"diagnostic_202001_forest_FALSE","S2_NATIVER2"
"diagnostic_202001_forest_FALSE","S2_NATIVER3"
"diagnostic_202001_forest_FALSE","S2_NATIVER4"
"diagnostic_202001_forest_FALSE","S2_NATIVER5"
"diagnostic_202001_forest_FALSE","S2_AFROLATR1"
"diagnostic_202001_forest_FALSE","S2_AFROLATR2"
"diagnostic_202001_forest_FALSE","S2_AFROLATR3"
"diagnostic_202001_forest_FALSE","S2_AFROLATR4"
"diagnostic_202001_forest_FALSE","S2_AFROLATR5"
"diagnostic_202001_forest_FALSE","S3"
"diagnostic_202001_forest_FALSE","S3B"
"diagnostic_202001_forest_FALSE","S3C"
"diagnostic_202001_forest_FALSE","S4"
"diagnostic_202001_forest_FALSE","S5"
"diagnostic_202001_forest_FALSE","S7"
"diagnostic_202001_forest_FALSE","S10"
"diagnostic_202001_forest_FALSE","S10_MEX"
"diagnostic_202001_forest_FALSE","S11"
"diagnostic_202001_forest_FALSE","S2_M"
"diagnostic_202001_forest_FALSE","S13"
"diagnostic_202001_forest_FALSE","S14"
"diagnostic_202001_forest_FALSE","Q58R1"
"diagnostic_202001_forest_FALSE","Q58R2"
"diagnostic_202001_forest_FALSE","Q58R3"
"diagnostic_202001_forest_FALSE","Q58R4"
"diagnostic_202001_forest_FALSE","Q58R5"
"diagnostic_202001_forest_FALSE","Q58R6"
"diagnostic_202001_forest_FALSE","Q58R7"
"diagnostic_202001_forest_FALSE","Q58R8"
"diagnostic_202001_forest_FALSE","Q58R9"
"diagnostic_202001_forest_FALSE","Q58R10"
"diagnostic_202001_forest_FALSE","Q58R11"
"diagnostic_202001_forest_FALSE","Q58R12"
"diagnostic_202001_forest_FALSE","Q58R13"
"diagnostic_202001_forest_FALSE","Q58R14"
"diagnostic_202001_forest_FALSE","Q58R15"
"diagnostic_202001_forest_FALSE","Q58R16"
"diagnostic_202001_forest_FALSE","Q58R17"
"diagnostic_202001_forest_FALSE","Q1R1"
"diagnostic_202001_forest_FALSE","Q1R2"
"diagnostic_202001_forest_FALSE","Q1R3"
"diagnostic_202001_forest_FALSE","Q1R4"
"diagnostic_202001_forest_FALSE","Q1R5"
"diagnostic_202001_forest_FALSE","Q1R6"
"diagnostic_202001_forest_FALSE","Q1R7"
"diagnostic_202001_forest_FALSE","Q1R8"
"diagnostic_202001_forest_FALSE","Q1R9"
"diagnostic_202001_forest_FALSE","Q1R10"
"diagnostic_202001_forest_FALSE","Q1R11"
"diagnostic_202001_forest_FALSE","Q1R12"
"diagnostic_202001_forest_FALSE","Q1R13"
"diagnostic_202001_forest_FALSE","Q1R14"
"diagnostic_202001_forest_FALSE","Q1R15"
"diagnostic_202001_forest_FALSE","Q1R16"
"diagnostic_202001_forest_FALSE","Q1R17"
"diagnostic_202001_forest_FALSE","Q1R18"
"diagnostic_202001_forest_FALSE","Q1R19"
"diagnostic_202001_forest_FALSE","Q1R20"
"diagnostic_202001_forest_FALSE","Q1R21"
"diagnostic_202001_forest_FALSE","Q1R22"
"diagnostic_202001_forest_FALSE","Q1R23"
"diagnostic_202001_forest_FALSE","Q2R1"
"diagnostic_202001_forest_FALSE","Q2R2"
"diagnostic_202001_forest_FALSE","Q2R3"
"diagnostic_202001_forest_FALSE","Q2R4"
"diagnostic_202001_forest_FALSE","Q2R5"
"diagnostic_202001_forest_FALSE","Q2R6"
"diagnostic_202001_forest_FALSE","Q2R7"
"diagnostic_202001_forest_FALSE","Q2R8"
"diagnostic_202001_forest_FALSE","Q2R9"
"diagnostic_202001_forest_FALSE","Q2R10"
"diagnostic_202001_forest_FALSE","Q13"
"diagnostic_202001_forest_FALSE","Q15"
"diagnostic_202001_forest_FALSE","Q16"
"diagnostic_202001_forest_FALSE","Q17"
"diagnostic_202001_forest_FALSE","Q20"
"diagnostic_202001_forest_FALSE","Q21"
"diagnostic_202001_forest_FALSE","Q22"
"diagnostic_202001_forest_FALSE","Q23"
"diagnostic_202001_forest_FALSE","Q24"
"diagnostic_202001_forest_FALSE","Q25"
"diagnostic_202001_forest_FALSE","Q26"
