"run","encoded","item"
"diagnostic_202001_forest_FALSE","v1","S1"
"diagnostic_202001_forest_FALSE","v2","S1"
"diagnostic_202001_forest_FALSE","v3","S2_RACE"
"diagnostic_202001_forest_FALSE","v4","S2_RACE"
"diagnostic_202001_forest_FALSE","v5","S2_RACE"
"diagnostic_202001_forest_FALSE","v6","S2_RACE"
"diagnostic_202001_forest_FALSE","v7","S2_RACE_PRIME"
"diagnostic_202001_forest_FALSE","v8","S2_RACE_PRIME"
"diagnostic_202001_forest_FALSE","v9","S2_RACE_PRIME"
"diagnostic_202001_forest_FALSE","v10","S2_NATIVE"
"diagnostic_202001_forest_FALSE","v11","S2_NATIVE"
"diagnostic_202001_forest_FALSE","v12","S2_NATIVE"
"diagnostic_202001_forest_FALSE","v13","S2_NATIVE"
"diagnostic_202001_forest_FALSE","v14","S2_NATIVE"
"diagnostic_202001_forest_FALSE","v15","S2_NATIVE"
"diagnostic_202001_forest_FALSE","v16","S2_NATIVE"
"diagnostic_202001_forest_FALSE","v17","S2_NATIVE"
"diagnostic_202001_forest_FALSE","v18","S2_NATIVE"
"diagnostic_202001_forest_FALSE","v19","S2_NATIVE"
"diagnostic_202001_forest_FALSE","v20","S2_AFROLAT"
"diagnostic_202001_forest_FALSE","v21","S2_AFROLAT"
"diagnostic_202001_forest_FALSE","v22","S2_AFROLAT"
"diagnostic_202001_forest_FALSE","v23","S2_AFROLAT"
"diagnostic_202001_forest_FALSE","v24","S2_AFROLAT"
"diagnostic_202001_forest_FALSE","v25","S2_AFROLAT"
"diagnostic_202001_forest_FALSE","v26","S2_AFROLAT"
"diagnostic_202001_forest_FALSE","v27","S2_AFROLAT"
"diagnostic_202001_forest_FALSE","v28","S2_AFROLAT"
"diagnostic_202001_forest_FALSE","v29","S2_AFROLAT"
"diagnostic_202001_forest_FALSE","v30","S3"
"diagnostic_202001_forest_FALSE","v31","S3"
"diagnostic_202001_forest_FALSE","v32","S3"
"diagnostic_202001_forest_FALSE","v33","S3"
"diagnostic_202001_forest_FALSE","v34","S3"
"diagnostic_202001_forest_FALSE","v35","S3"
"diagnostic_202001_forest_FALSE","v36","S3B"
"diagnostic_202001_forest_FALSE","v37","S3B"
"diagnostic_202001_forest_FALSE","v38","S3B"
"diagnostic_202001_forest_FALSE","v39","S3C"
"diagnostic_202001_forest_FALSE","v40","S3C"
"diagnostic_202001_forest_FALSE","v41","S3C"
"diagnostic_202001_forest_FALSE","v42","S4"
"diagnostic_202001_forest_FALSE","v43","S4"
"diagnostic_202001_forest_FALSE","v44","S4"
"diagnostic_202001_forest_FALSE","v45","S4"
"diagnostic_202001_forest_FALSE","v46","S4"
"diagnostic_202001_forest_FALSE","v47","S4"
"diagnostic_202001_forest_FALSE","v48","S4"
"diagnostic_202001_forest_FALSE","v49","S4"
